path,status,duration_seconds,sample_rate_hz,channels,mean_volume_db,max_volume_db,warnings,sha256
outputs/qwen3-tts/cool_senpai/raw/mixed_language.wav,PASS,7.760417,24000,1,-20.0,-5.1,,091f32cd66c0e38951a8c7083b4132db3aa0c56cae26d1b31ed215bbcb827898
outputs/qwen3-tts/cool_senpai/raw/showcase.wav,PASS,9.955375,24000,1,-20.4,-4.9,,fd4bcc8920b5871cab80e3399902adb062577fe0d3529ff49cea6f3024fb1cda
outputs/qwen3-tts/cool_senpai/raw/voice-master.wav,PASS,7.92,24000,1,-19.4,-4.3,contains_silence_over_0.8s,dadee84bd7feaffb19abc44c29f3b8fbee93e84941699a176996c0e10746acf8
outputs/qwen3-tts/cool_senpai/ready/mixed_language.wav,PASS,7.760417,24000,1,-20.0,-5.1,,091f32cd66c0e38951a8c7083b4132db3aa0c56cae26d1b31ed215bbcb827898
outputs/qwen3-tts/cool_senpai/ready/showcase.wav,PASS,9.955375,24000,1,-20.4,-4.9,,fd4bcc8920b5871cab80e3399902adb062577fe0d3529ff49cea6f3024fb1cda
outputs/qwen3-tts/cool_senpai/ready/voice-master.wav,PASS,7.92,24000,1,-19.4,-4.3,contains_silence_over_0.8s,dadee84bd7feaffb19abc44c29f3b8fbee93e84941699a176996c0e10746acf8
outputs/qwen3-tts/hotblood_youth/raw/mixed_language.wav,PASS,6.60675,24000,1,-21.2,-4.7,,8bc2c3e321fc3ef2059fe31d1f63201b15742d74e2610d893a4afafe4eaab12f
outputs/qwen3-tts/hotblood_youth/raw/showcase.wav,PASS,9.191625,24000,1,-21.3,-4.7,,f317cfbacfdc3938c17306ea2b35c8bbe6fa0d7843ca4ffc0727a4d064084666
outputs/qwen3-tts/hotblood_youth/raw/voice-master.wav,PASS,7.52,24000,1,-20.8,-4.4,contains_silence_over_0.8s,335269748b3208423a4e4ed9899da870f3e4a2a9c0e4f940710c9731878530ae
outputs/qwen3-tts/hotblood_youth/ready/mixed_language.wav,PASS,6.60675,24000,1,-21.2,-4.7,,8bc2c3e321fc3ef2059fe31d1f63201b15742d74e2610d893a4afafe4eaab12f
outputs/qwen3-tts/hotblood_youth/ready/showcase.wav,PASS,9.191625,24000,1,-21.3,-4.7,,f317cfbacfdc3938c17306ea2b35c8bbe6fa0d7843ca4ffc0727a4d064084666
outputs/qwen3-tts/hotblood_youth/ready/voice-master.wav,PASS,7.52,24000,1,-20.8,-4.4,contains_silence_over_0.8s,335269748b3208423a4e4ed9899da870f3e4a2a9c0e4f940710c9731878530ae
outputs/qwen3-tts/moe_spark/raw/mixed_language.wav,PASS,8.082667,24000,1,-24.0,-5.1,,b7db407cb23f6f016fee7cbcf18bb510980b1690816e920738fab527a3d344bf
outputs/qwen3-tts/moe_spark/raw/showcase.wav,PASS,10.116958,24000,1,-24.1,-6.4,,5f1b296b0c02143716465efc834a1dce616332e726d02b58c2ab8b2daaf857fa
outputs/qwen3-tts/moe_spark/raw/voice-master.wav,PASS,8.72,24000,1,-22.5,-4.2,,3cc9ef2dda1967812cff30fb190cd436dc28b250f1d491e14f095dadc69152fb
outputs/qwen3-tts/moe_spark/ready/mixed_language.wav,PASS,8.082667,24000,1,-24.0,-5.1,,b7db407cb23f6f016fee7cbcf18bb510980b1690816e920738fab527a3d344bf
outputs/qwen3-tts/moe_spark/ready/showcase.wav,PASS,9.676958,24000,1,-23.9,-6.4,,31a76403690ca1ff33f8369a60784118f2a6f557cc5fc419a07572ad45c06102
outputs/qwen3-tts/moe_spark/ready/voice-master.wav,PASS,8.72,24000,1,-22.5,-4.2,,3cc9ef2dda1967812cff30fb190cd436dc28b250f1d491e14f095dadc69152fb
outputs/qwen3-tts/mystic_rival/raw/mixed_language.wav,PASS,7.763167,24000,1,-22.4,-3.6,contains_silence_over_0.8s,9998670c0e5378c17a47b86dbef3e6aeb478a0bd77564b07d88553031fad24f2
outputs/qwen3-tts/mystic_rival/raw/showcase.wav,PASS,8.918917,24000,1,-22.8,-4.8,,05ce4f4786d3f9d9ee641a1bdec02afef8cee9aa9897083e80f4a71732fc418c
outputs/qwen3-tts/mystic_rival/raw/voice-master.wav,PASS,8.48,24000,1,-21.4,-4.0,contains_silence_over_0.8s,f4b28e04cdd5fcbb4f3606d783cdc49a0abb2c122252e0f1346add33e6842102
outputs/qwen3-tts/mystic_rival/ready/mixed_language.wav,PASS,7.763167,24000,1,-22.4,-3.6,contains_silence_over_0.8s,9998670c0e5378c17a47b86dbef3e6aeb478a0bd77564b07d88553031fad24f2
outputs/qwen3-tts/mystic_rival/ready/showcase.wav,PASS,8.918917,24000,1,-22.8,-4.8,,05ce4f4786d3f9d9ee641a1bdec02afef8cee9aa9897083e80f4a71732fc418c
outputs/qwen3-tts/mystic_rival/ready/voice-master.wav,PASS,8.48,24000,1,-21.4,-4.0,contains_silence_over_0.8s,f4b28e04cdd5fcbb4f3606d783cdc49a0abb2c122252e0f1346add33e6842102
outputs/qwen3-tts/sleepy_cat/raw/mixed_language.wav,PASS,7.298417,24000,1,-20.4,-5.6,,d129d46eb3d78c1e1d14cc3645090f5f2f59e937a04271d080b3be3edeb8f1cd
outputs/qwen3-tts/sleepy_cat/raw/showcase.wav,PASS,10.202792,24000,1,-20.3,-4.5,contains_silence_over_0.8s,d58f6024b6c70b28cf62af1dfa7e4d719a30874cef35407b5968875122556c8f
outputs/qwen3-tts/sleepy_cat/raw/voice-master.wav,PASS,11.76,24000,1,-20.9,-3.6,,e768fef04b16e29a70321496acb6dd2a48b4b6b288f9a536d39d4f18c79dcc82
outputs/qwen3-tts/sleepy_cat/ready/mixed_language.wav,PASS,6.878417,24000,1,-20.2,-5.6,,d3935c7b7bbfa95562ed40271585788e964de38aa537613f8b28f61c423e1cc6
outputs/qwen3-tts/sleepy_cat/ready/showcase.wav,PASS,9.862792,24000,1,-20.2,-4.5,contains_silence_over_0.8s,fe66497edb1f5681f5755cc9c1c897ec78f36008b446b9eb61b8f0cbd244c5d8
outputs/qwen3-tts/sleepy_cat/ready/voice-master.wav,PASS,11.28,24000,1,-20.7,-3.6,,eb3a8a5c12cc7a1a18cb88d2ca795be62362c145927b421a4ca4076c2cc0a318
outputs/qwen3-tts/soft_healer/raw/mixed_language.wav,PASS,7.848333,24000,1,-21.5,-9.2,,8403b23f786bc3c54cd2f1f1cb5fa1d8a8bbf88cab78ff8c6a31f9b29bc930c6
outputs/qwen3-tts/soft_healer/raw/showcase.wav,PASS,9.4805,24000,1,-22.4,-9.3,,b6b63f0b270f738b6fb61ffde784fdeb398459931d7fa3172e70d0395c1b8b18
